PRISM Time Series Data
Location:  Lat: 45.7636   Lon: -88.4636   Elev: 1460ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-03
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Dec-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
2015-01-01,-9.6,0.3,10.2
2015-01-02,-10.0,6.6,23.3
2015-01-03,-7.6,5.7,19.0
2015-01-04,8.4,17.5,26.7
2015-01-05,-18.0,-4.8,8.3
2015-01-06,-18.4,-8.9,0.6
2015-01-07,-13.1,-3.3,6.6
2015-01-08,-9.5,-5.8,-2.1
2015-01-09,-5.8,-0.3,5.2
2015-01-10,-14.4,-7.2,-0.0
2015-01-11,-12.7,0.6,13.8
2015-01-12,-11.2,1.6,14.4
2015-01-13,-25.9,-8.6,8.8
2015-01-14,-25.7,-5.0,15.8
2015-01-15,10.6,15.6,20.5
2015-01-16,7.5,19.6,31.8
2015-01-17,5.8,14.6,23.3
2015-01-18,23.1,28.5,33.8
2015-01-19,14.2,22.8,31.4
2015-01-20,15.1,18.2,21.3
2015-01-21,16.3,19.4,22.4
2015-01-22,18.4,22.5,26.5
2015-01-23,17.5,24.8,32.1
2015-01-24,27.8,30.8,33.9
2015-01-25,13.0,24.8,36.7
2015-01-26,-3.3,8.9,21.1
2015-01-27,8.3,14.3,20.3
2015-01-28,16.5,19.9,23.3
2015-01-29,19.3,24.2,29.0
2015-01-30,7.9,18.6,29.2
2015-01-31,7.8,13.1,18.4
2015-02-01,5.1,14.4,23.7
2015-02-02,-8.4,1.1,10.6
2015-02-03,-10.0,3.1,16.1
2015-02-04,-4.7,7.8,20.2
2015-02-05,-17.3,-2.8,11.7
2015-02-06,-15.8,-0.2,15.4
2015-02-07,9.9,16.6,23.4
2015-02-08,15.5,19.4,23.3
2015-02-09,-0.2,9.2,18.7
2015-02-10,2.3,13.5,24.6
2015-02-11,14.6,19.5,24.5
2015-02-12,-1.5,12.2,25.8
2015-02-13,-14.5,-2.4,9.7
2015-02-14,-3.2,6.1,15.3
2015-02-15,-15.7,-8.0,-0.3
2015-02-16,-13.2,-1.6,9.9
2015-02-17,-7.3,3.2,13.7
2015-02-18,-10.2,-0.3,9.6
2015-02-19,-24.8,-13.3,-1.9
2015-02-20,-24.9,-11.2,2.6
2015-02-21,-17.2,-2.7,11.9
2015-02-22,-10.7,4.5,19.7
2015-02-23,-22.7,-11.2,0.4
2015-02-24,-23.0,-4.4,14.3
2015-02-25,-17.2,5.1,27.5
2015-02-26,-23.2,-5.2,12.8
2015-02-27,-23.0,-6.3,10.4
2015-02-28,-18.9,0.9,20.7
2015-03-01,-11.7,5.8,23.2
2015-03-02,4.1,13.6,23.0
2015-03-03,9.1,19.0,29.0
2015-03-04,-0.8,12.6,26.0
2015-03-05,-21.6,-6.3,8.9
2015-03-06,-18.6,-1.5,15.6
2015-03-07,0.7,15.9,31.2
2015-03-08,5.3,20.0,34.8
2015-03-09,15.7,27.5,39.4
2015-03-10,13.4,31.8,50.2
2015-03-11,20.2,39.6,58.9
2015-03-12,24.5,36.2,47.8
2015-03-13,30.5,39.8,49.1
2015-03-14,34.9,46.7,58.6
2015-03-15,21.0,30.2,39.3
2015-03-16,24.9,40.2,55.5
2015-03-17,25.6,38.2,50.7
2015-03-18,21.0,28.3,35.7
2015-03-19,19.5,30.6,41.8
2015-03-20,23.7,32.3,40.9
2015-03-21,24.1,37.0,49.9
2015-03-22,11.7,21.8,31.9
2015-03-23,13.2,24.2,35.2
2015-03-24,12.6,24.8,36.9
2015-03-25,15.1,29.8,44.5
2015-03-26,25.1,30.0,35.0
2015-03-27,3.2,14.9,26.5
2015-03-28,-2.7,13.2,29.1
2015-03-29,0.5,20.1,39.7
2015-03-30,29.0,32.8,36.5
2015-03-31,23.6,36.8,50.1
2015-04-01,23.9,38.0,52.1
2015-04-02,30.0,42.9,55.9
2015-04-03,29.1,45.7,62.3
2015-04-04,16.7,26.4,36.1
2015-04-05,17.2,30.0,42.8
2015-04-06,20.5,32.0,43.5
2015-04-07,25.3,31.1,36.9
2015-04-08,28.8,35.9,43.0
2015-04-09,30.9,37.2,43.5
2015-04-10,30.8,33.9,37.0
2015-04-11,23.1,33.8,44.5
2015-04-12,26.7,43.8,61.0
2015-04-13,41.0,55.9,70.8
2015-04-14,25.2,42.6,60.0
2015-04-15,26.2,45.1,64.1
2015-04-16,28.3,46.0,63.7
2015-04-17,34.0,52.0,70.0
2015-04-18,35.3,54.1,73.0
2015-04-19,35.6,49.0,62.4
2015-04-20,36.2,46.8,57.4
2015-04-21,31.5,36.0,40.6
2015-04-22,24.6,32.8,41.0
2015-04-23,24.6,27.9,31.1
2015-04-24,18.2,31.6,45.1
2015-04-25,25.8,38.3,50.9
2015-04-26,24.8,39.4,54.1
2015-04-27,29.4,44.0,58.5
2015-04-28,26.9,45.3,63.7
2015-04-29,35.0,51.8,68.6
2015-04-30,32.3,45.6,59.0
2015-05-01,29.4,45.4,61.4
2015-05-02,36.8,52.9,69.1
2015-05-03,45.4,61.1,76.7
2015-05-04,46.7,63.5,80.4
2015-05-05,31.6,49.6,67.7
2015-05-06,35.9,52.5,69.1
2015-05-07,46.7,58.5,70.3
2015-05-08,54.0,67.8,81.6
2015-05-09,44.1,57.7,71.3
2015-05-10,34.3,47.4,60.4
2015-05-11,38.9,48.0,57.0
2015-05-12,37.1,46.8,56.5
2015-05-13,28.6,37.6,46.5
2015-05-14,31.9,46.1,60.2
2015-05-15,41.0,51.3,61.7
2015-05-16,45.2,52.8,60.5
2015-05-17,50.7,61.4,72.2
2015-05-18,53.2,60.7,68.2
2015-05-19,30.0,43.6,57.2
2015-05-20,24.8,36.5,48.2
2015-05-21,32.5,47.5,62.6
2015-05-22,27.7,47.7,67.7
2015-05-23,31.9,49.9,67.9
2015-05-24,47.7,62.6,77.5
2015-05-25,54.4,64.4,74.4
2015-05-26,53.1,61.8,70.5
2015-05-27,51.8,62.2,72.7
2015-05-28,46.3,61.3,76.3
2015-05-29,55.5,68.0,80.5
2015-05-30,48.0,61.9,75.8
2015-05-31,31.0,43.0,55.0
2015-06-01,30.8,46.1,61.4
2015-06-02,31.5,49.1,66.8
2015-06-03,43.6,57.8,72.1
2015-06-04,52.4,64.0,75.5
2015-06-05,51.6,60.5,69.4
2015-06-06,32.7,50.0,67.4
2015-06-07,45.0,57.7,70.5
2015-06-08,49.2,61.0,72.9
2015-06-09,46.0,58.2,70.5
2015-06-10,55.2,66.5,77.7
2015-06-11,43.5,57.0,70.5
2015-06-12,47.1,55.3,63.5
2015-06-13,44.9,60.5,76.1
2015-06-14,54.0,58.6,63.2
2015-06-15,48.4,61.4,74.3
2015-06-16,45.2,57.8,70.4
2015-06-17,51.8,60.2,68.7
2015-06-18,54.2,62.8,71.3
2015-06-19,35.6,53.4,71.2
2015-06-20,46.0,58.4,70.8
2015-06-21,49.6,56.5,63.3
2015-06-22,50.1,62.2,74.4
2015-06-23,56.4,66.4,76.3
2015-06-24,50.8,63.1,75.4
2015-06-25,53.7,66.4,79.1
2015-06-26,45.6,58.8,72.1
2015-06-27,45.7,61.1,76.5
2015-06-28,51.5,65.6,79.6
2015-06-29,49.1,63.2,77.3
2015-06-30,52.2,64.2,76.2
2015-07-01,38.8,49.1,59.5
2015-07-02,41.2,55.1,68.9
2015-07-03,49.6,62.2,74.8
2015-07-04,51.5,62.8,74.1
2015-07-05,54.9,67.0,79.2
2015-07-06,60.0,70.4,80.9
2015-07-07,50.2,60.5,70.9
2015-07-08,40.5,54.3,68.0
2015-07-09,45.9,59.0,72.2
2015-07-10,49.6,63.8,78.0
2015-07-11,54.2,68.4,82.5
2015-07-12,56.7,69.0,81.3
2015-07-13,62.7,71.8,80.9
2015-07-14,61.8,70.2,78.5
2015-07-15,39.7,54.3,68.9
2015-07-16,49.5,62.3,75.1
2015-07-17,58.9,67.1,75.3
2015-07-18,57.9,70.1,82.3
2015-07-19,60.5,72.6,84.7
2015-07-20,61.0,70.9,80.7
2015-07-21,50.0,64.4,78.7
2015-07-22,45.5,59.6,73.7
2015-07-23,51.8,65.7,79.6
2015-07-24,56.1,70.2,84.3
2015-07-25,61.8,71.1,80.3
2015-07-26,55.8,70.1,84.3
2015-07-27,55.2,71.0,86.7
2015-07-28,54.9,71.3,87.7
2015-07-29,64.7,73.1,81.6
2015-07-30,61.1,70.1,79.1
2015-07-31,54.7,67.6,80.6
2015-08-01,51.0,63.5,76.0
2015-08-02,52.1,65.1,78.1
2015-08-03,52.7,63.4,74.1
2015-08-04,53.8,61.6,69.3
2015-08-05,41.6,56.1,70.6
2015-08-06,47.2,60.8,74.4
2015-08-07,55.7,65.6,75.4
2015-08-08,58.7,61.9,65.1
2015-08-09,59.8,65.8,71.8
2015-08-10,59.9,68.4,76.8
2015-08-11,51.7,64.4,77.2
2015-08-12,45.6,59.7,73.8
2015-08-13,53.2,67.6,82.1
2015-08-14,64.1,73.8,83.5
2015-08-15,54.7,71.6,88.5
2015-08-16,58.7,73.3,88.0
2015-08-17,61.0,73.7,86.5
2015-08-18,58.1,62.8,67.5
2015-08-19,58.6,62.3,66.0
2015-08-20,54.9,63.3,71.7
2015-08-21,42.8,52.1,61.3
2015-08-22,48.8,61.5,74.2
2015-08-23,55.7,67.2,78.8
2015-08-24,49.1,56.7,64.3
2015-08-25,48.4,51.0,53.6
2015-08-26,48.9,52.2,55.5
2015-08-27,41.2,55.7,70.1
2015-08-28,45.8,59.5,73.3
2015-08-29,54.5,63.8,73.0
2015-08-30,54.4,65.3,76.2
2015-08-31,55.4,66.8,78.1
2015-09-01,59.3,70.6,81.9
2015-09-02,61.0,72.5,83.9
2015-09-03,61.6,67.6,73.7
2015-09-04,53.6,66.0,78.4
2015-09-05,55.3,68.4,81.4
2015-09-06,62.5,73.0,83.5
2015-09-07,63.2,73.5,83.8
2015-09-08,63.2,71.0,78.9
2015-09-09,43.5,58.7,74.0
2015-09-10,46.5,59.5,72.6
2015-09-11,41.0,54.8,68.5
2015-09-12,33.4,45.5,57.6
2015-09-13,34.5,48.7,62.9
2015-09-14,37.0,53.2,69.4
2015-09-15,48.0,63.0,78.1
2015-09-16,57.5,70.0,82.6
2015-09-17,60.4,70.5,80.7
2015-09-18,55.9,65.1,74.3
2015-09-19,49.5,58.9,68.3
2015-09-20,40.8,52.8,64.8
2015-09-21,40.9,55.2,69.5
2015-09-22,44.4,58.1,71.9
2015-09-23,48.0,57.7,67.4
2015-09-24,51.9,58.9,65.9
2015-09-25,48.5,58.8,69.1
2015-09-26,49.9,62.6,75.3
2015-09-27,49.6,61.6,73.6
2015-09-28,50.4,63.0,75.6
2015-09-29,44.2,56.0,67.9
2015-09-30,27.8,41.8,55.8
2015-10-01,29.5,44.2,59.0
2015-10-02,29.5,44.1,58.7
2015-10-03,31.5,44.8,58.2
2015-10-04,36.3,43.9,51.5
