PRISM Time Series Data,,,
Location:  Lat: 43.4309   Lon: -85.5956   Elev: 850ft,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 4km,,,
Period: 2015-01-01 - 2025-12-03,,,
Dataset: AN91d,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Dec-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/2015,9.4,15.9,22.4
1/2/2015,15.7,22.2,28.8
1/3/2015,12.6,21.9,31.1
1/4/2015,24.3,27.8,31.4
1/5/2015,0.9,15.8,30.8
1/6/2015,0.4,4.6,8.8
1/7/2015,3.9,10.1,16.3
1/8/2015,2.7,6.4,10.1
1/9/2015,3.1,9.1,15.1
1/10/2015,0.8,6.3,11.8
1/11/2015,6.4,13.8,21.1
1/12/2015,16.2,23.7,31.2
1/13/2015,-10.9,6.4,23.8
1/14/2015,-13.7,1.3,16.4
1/15/2015,-1.1,10.5,22.1
1/16/2015,17.7,25.5,33.3
1/17/2015,15.9,20.9,25.8
1/18/2015,22.2,31.6,40.9
1/19/2015,26.4,30.7,35.1
1/20/2015,22.7,26.4,30
1/21/2015,21.3,24.9,28.6
1/22/2015,16.6,21.6,26.6
1/23/2015,14.3,22.9,31.6
1/24/2015,27.5,30.1,32.7
1/25/2015,19,28.3,37.6
1/26/2015,0.1,12,23.9
1/27/2015,0.2,11.5,22.9
1/28/2015,2.9,15.3,27.7
1/29/2015,3.6,16.6,29.6
1/30/2015,16.8,24.4,32
1/31/2015,10.9,17.1,23.4
2/1/2015,14.4,23.3,32.2
2/2/2015,0.9,8.5,16.1
2/3/2015,-1.3,8.8,18.9
2/4/2015,4.3,14,23.7
2/5/2015,-7.2,7.8,22.9
2/6/2015,-7.1,7,21.2
2/7/2015,17.6,23.3,29.1
2/8/2015,26,31.5,36.9
2/9/2015,15,23,31
2/10/2015,-1.3,12.6,26.5
2/11/2015,-1.2,13.5,28.3
2/12/2015,7.8,19.7,31.6
2/13/2015,-1.1,7,15.2
2/14/2015,4.8,13.7,22.5
2/15/2015,-13,0.9,14.7
2/16/2015,-13.7,-3.3,7.1
2/17/2015,-2,5.4,12.9
2/18/2015,1.1,10.1,19.2
2/19/2015,-11.6,0,11.6
2/20/2015,-22.6,-8.9,4.7
2/21/2015,-18.3,-1.1,16.2
2/22/2015,11.3,19,26.7
2/23/2015,-19.3,-0.3,18.7
2/24/2015,-18.5,-1.8,14.9
2/25/2015,3.2,15,26.8
2/26/2015,-2.7,8.2,19.2
2/27/2015,-17,-1.5,13.9
2/28/2015,-16.3,1.2,18.8
3/1/2015,-5.2,9.3,23.8
3/2/2015,9.5,17.9,26.4
3/3/2015,13.1,22.1,31.2
3/4/2015,20.8,26.2,31.7
3/5/2015,-7,8.9,24.9
3/6/2015,-8.5,5,18.4
3/7/2015,4.2,15.5,26.9
3/8/2015,17.6,28.4,39.1
3/9/2015,16.5,28.9,41.2
3/10/2015,19.4,32.9,46.3
3/11/2015,27.2,34.6,42.1
3/12/2015,24.9,37.8,50.7
3/13/2015,26.4,36.8,47.2
3/14/2015,26.9,41.4,55.9
3/15/2015,26.3,35,43.7
3/16/2015,26.9,38.4,49.9
3/17/2015,30.7,46.1,61.6
3/18/2015,21.7,30.6,39.6
3/19/2015,23.5,34.4,45.3
3/20/2015,23.4,32.8,42.2
3/21/2015,27,38,48.9
3/22/2015,18.3,31.4,44.4
3/23/2015,18.9,27.6,36.3
3/24/2015,15,25.2,35.4
3/25/2015,16.1,29.5,42.9
3/26/2015,31.2,35.4,39.5
3/27/2015,17.1,27.6,38
3/28/2015,7.7,17.7,27.7
3/29/2015,9.3,22.9,36.5
3/30/2015,21.9,31.6,41.3
3/31/2015,32.8,42.5,52.3
4/1/2015,26.1,38.8,51.5
4/2/2015,27.2,45.5,63.9
4/3/2015,34.4,46.7,59
4/4/2015,18.4,33.9,49.4
4/5/2015,21.1,35.9,50.6
4/6/2015,32.3,41.8,51.2
4/7/2015,33.6,47.6,61.6
4/8/2015,33.8,42.4,50.9
4/9/2015,33.8,37.9,42
4/10/2015,35.8,48,60.2
4/11/2015,28.9,38.2,47.5
4/12/2015,30.6,44.6,58.5
4/13/2015,36.3,51.9,67.6
4/14/2015,31.2,46.6,61.9
4/15/2015,30.9,48.6,66.4
4/16/2015,37.2,50.9,64.6
4/17/2015,35.5,48.5,61.4
4/18/2015,38.4,56.5,74.6
4/19/2015,40.8,56.1,71.3
4/20/2015,43.5,55.2,66.8
4/21/2015,36.7,43.3,49.9
4/22/2015,31.4,37.3,43.3
4/23/2015,28.5,32.9,37.4
4/24/2015,22.8,33.2,43.6
4/25/2015,28.4,42.5,56.6
4/26/2015,29.3,42.2,55.1
4/27/2015,33.8,46.4,59
4/28/2015,30.6,42.8,54.9
